TID GID GT TTy ReqT TAr TT Res
342	 141	 1	 D	 141	 142	 8	 S	
343	 138	 5	 C	 138	 149	 1	 B	
344	 142	 1	 D	 142	 143	 8	 S	
345	 150	 1	 C	 150	 150	 1	 B	
346	 114	 2	 P	 114	 114	 38	 A	
347	 140	 3	 D	 140	 145	 7	 S	
348	 151	 1	 C	 151	 151	 1	 B	
349	 114	 2	 C	 114	 152	 1	 A	
350	 144	 1	 D	 144	 146	 7	 S	
351	 152	 1	 C	 152	 152	 1	 B	
352	 108	 2	 D	 108	 147	 7	 S	
353	 153	 1	 C	 153	 153	 1	 B	
354	 113	 5	 D	 113	 148	 7	 S	
355	 121	 2	 P	 121	 121	 35	 A	
356	 146	 3	 A	 146	 146	 10	 B	
357	 143	 3	 D	 143	 149	 7	 S	
358	 155	 1	 C	 155	 155	 2	 A	
359	 121	 2	 C	 121	 156	 1	 B	
360	 147	 1	 D	 147	 149	 8	 S	
361	 146	 3	 C	 146	 156	 2	 A	
362	 156	 1	 C	 156	 156	 2	 B	
363	 138	 5	 D	 138	 150	 8	 S	
364	 150	 1	 D	 150	 151	 8	 S	
365	 157	 1	 C	 157	 157	 2	 A	
366	 148	 5	 A	 148	 148	 12	 B	
367	 151	 1	 D	 151	 152	 8	 S	
368	 159	 1	 C	 159	 159	 1	 A	
369	 145	 4	 Q	 145	 145	 16	 S	
370	 154	 3	 A	 154	 154	 8	 B	
371	 114	 2	 D	 114	 153	 9	 S	
372	 122	 2	 P	 122	 122	 41	 A	
373	 161	 1	 C	 161	 161	 2	 B	
374	 152	 1	 D	 152	 153	 10	 S	
375	 154	 3	 C	 154	 162	 2	 A	
376	 162	 1	 C	 162	 162	 2	 B	
377	 153	 1	 D	 153	 154	 10	 S	
378	 122	 2	 C	 122	 163	 2	 A	
379	 155	 1	 D	 155	 157	 8	 S	
380	 163	 1	 C	 163	 163	 2	 B	
381	 121	 2	 D	 121	 157	 9	 S	
382	 164	 1	 C	 164	 164	 2	 A	
383	 146	 3	 D	 146	 158	 9	 S	
384	 158	 3	 A	 158	 158	 9	 B	
385	 166	 1	 C	 166	 166	 1	 A	
386	 156	 1	 D	 156	 158	 10	 S	
387	 158	 3	 C	 158	 167	 1	 B	
388	 157	 1	 D	 157	 159	 10	 S	
389	 124	 2	 P	 124	 124	 46	 A	
