TID GID GT TTy ReqT TAr TT Res
300	 105	 4	 Q	 105	 105	 29	 S	 prioritize: 0	 
301	 105	 4	 C	 105	 134	 1	 B	 prioritize:0	
302	 113	 5	 Q	 113	 113	 22	 S	 prioritize: 0	 
303	 105	 4	 D	 105	 135	 1	 S	 prioritize:0	 
304	 113	 5	 C	 113	 135	 1	 B	 prioritize:0	
305	 108	 2	 P	 108	 108	 29	 A	 prioritize:0	 
306	 113	 5	 D	 113	 136	 1	 S	 prioritize:0	 
307	 108	 2	 C	 108	 137	 1	 B	 prioritize:0	
308	 108	 2	 D	 108	 138	 1	 S	 prioritize:0	 
309	 114	 2	 P	 114	 114	 26	 A	 prioritize:0	 
310	 114	 2	 C	 114	 140	 1	 B	 prioritize:0	
311	 114	 2	 D	 114	 141	 1	 S	 prioritize:0	 
